plant,insect
"Brassica napus","Lasioglossum occidens"
"Brassica napus","Lasioglossum parvulum"
"Brassica napus","Lasioglossum pauxillum"
"Brassica napus","Lasioglossum politum"
"Brassica napus","Lasioglossum proximatum"
"Brassica napus","Lasioglossum scitulum"
"Brassica napus","Lasioglossum subopatum"
"Brassica napus","Lasioglossum villosulum"
"Brassica napus","Lasioglossum xanthopus"
"Brassica napus","Lasioglossum.calceatum"
"Brassica napus","Lasioglossum.fulvicorne"
"Brassica napus","Lasioglossum.interruptum"
"Brassica napus","Lasioglossum.laticeps"
"Brassica napus","Lasioglossum.malachurum"
"Brassica napus","Lasioglossum.marginatum"
"Brassica napus","Lasioglossum.morio"
"Brassica napus","Lasioglossum.pallens"
"Brassica napus","Lasioglossum.pauxillum"
"Brassica napus","Lasioglossum.sp1"
"Brassica napus","Lasioglossum.sp2"
"Brassica napus","Lasioglossum.sp3"
"Brassica napus","Lasioglossum.sp4"
"Brassica napus","Lasioglossum.villosulum"
"Brassica napus","Lasioglossum_sexnotatum"
"Brassica napus","Lasioglossum_sexstrigatum"
"Brassica napus","Lepidoptera"
"Brassica napus","Limonius pilosus"
"Brassica napus","Loricara.pilicornis"
"Brassica napus","Megachilidae.sp1"
"Brassica napus","Megachilidae.sp10"
"Brassica napus","Megachilidae.sp2"
"Brassica napus","Megachilidae.sp3"
"Brassica napus","Megachilidae.sp4"
"Brassica napus","Megachilidae.sp5"
"Brassica napus","Megachilidae.sp6"
"Brassica napus","Megachilidae.sp7"
"Brassica napus","Megachilidae.sp8"
"Brassica napus","Megachilidae.sp9"
"Brassica napus","Megasyrphus erraticus"
"Brassica napus","Melangyna cincta"
"Brassica napus","Melanogaster_aerosa"
"Brassica napus","Melanostoma"
"Brassica napus","Melanostoma mellinum"
"Brassica napus","Melanostoma scalare"
"Brassica napus","Melanostoma spec"
"Brassica napus","Melanostoma.mellinum"
"Brassica napus","Melanostoma.scalare"
"Brassica napus","Melanostoma.spec."
"Brassica napus","Melanostoma_mellinum"
"Brassica napus","Melanostoma_scalare"
"Brassica napus","Melanostoma_sp"
"Brassica napus","Meligethies.anaeus"
"Brassica napus","Merodon_equestris"
"Brassica napus","Mirid Bug"
"Brassica napus","Muscidae sp1"
"Brassica napus","Muscidae sp2"
"Brassica napus","Muscidae sp3"
"Brassica napus","Muscidae sp4"
"Brassica napus","Muscidae sp5"
"Brassica napus","Muscidae sp6"
"Brassica napus","Muscidae sp7"
"Brassica napus","Muscidae sp8"
"Brassica napus","Muscidae_sp."
"Brassica napus","Myathropa_florea"
"Brassica napus","Nebria.brevicollis"
"Brassica napus","Nebria.salina"
"Brassica napus","Nematocera"
"Brassica napus","Nematocera_sp."
"Brassica napus","Neoascia_podagrica"
"Brassica napus","Neocorynura.sp."
"Brassica napus","Noctuidae"
"Brassica napus","Nomada sp1"
"Brassica napus","Nomada sp2"
"Brassica napus","Nomada versicolor"
"Brassica napus","Nomada.flavoguttata"
"Brassica napus","Notiophilus.aestuans"
"Brassica napus","Notiophilus.palustris"
"Brassica napus","Nymphalidae"
"Brassica napus","Osmia bicornis"
"Brassica napus","Osmia caerulescens"
"Brassica napus","Osmia sp1"
"Brassica napus","Osmia taurus"
"Brassica napus","Osmia.bicornis"
"Brassica napus","Osmia_bicornis"
"Brassica napus","Other Coleoptera (>3mm)"
"Brassica napus","Other Hemiptera (>3mm)"
"Brassica napus","Other Solitary wasp"
"Brassica napus","Other solitary bee"
"Brassica napus","Other.Hymenoptera"
"Brassica napus","Other_Dipterans"
"Brassica napus","Pachyprotasis rapae"
"Brassica napus","Papilionidae"
"Brassica napus","Pararge aegeria"
"Brassica napus","Parasitica"
"Brassica napus","Parasitoids"
"Brassica napus","Parasyrphus annulatus"
"Brassica napus","Parasyrphus.annulatus"
"Brassica napus","Parasyrphus_nigritarsis"
"Brassica napus","Parhelophilus frutetorum"
"Brassica napus","Parophonus.maculicornis"
"Brassica napus","Phytomia zonata"
"Brassica napus","Pieridae_sp"
"Brassica napus","Pieris napi"
"Brassica napus","Pieris rapae"
"Brassica napus","Pieris_brassicae"
"Brassica napus","Pieris_napi"
"Brassica napus","Platycheirus Scambus"
"Brassica napus","Platycheirus albimanus"
"Brassica napus","Platycheirus europaeus"
"Brassica napus","Platycheirus immarginatus"
"Brassica napus","Platycheirus jaerensis"
"Brassica napus","Platycheirus manicatus"
"Brassica napus","Platycheirus peltatus"
"Brassica napus","Platycheirus.albimanus"
"Brassica napus","Platycheirus.scutatus"
"Brassica napus","Platycheirus_albimanus"
"Brassica napus","Platycheirus_nielseni"
"Brassica napus","Platycheirus_peltatus"
"Brassica napus","Platycheirus_scambus"
"Brassica napus","Platycheirus_scutatus"
"Brassica napus","Platycheirus_sp"
"Brassica napus","Platynus.assimilis"
"Brassica napus","Plebeia.emerina"
"Brassica napus","Plebeia.nigriceps"
"Brassica napus","Plutella xylostella"
"Brassica napus","Poecilus.cupreus"
"Brassica napus","Poecilus.versicolor"
"Brassica napus","Polistes hebraeus"
"Brassica napus","Polistes rothneyi"
"Brassica napus","Polistes snelleni"
"Brassica napus","Pollen beetle"
"Brassica napus","Psaenythia.sp."
"Brassica napus","Pterostichus.anthracinus"
"Brassica napus","Pterostichus.melanarius"
"Brassica napus","Pterostichus.nigrita"
"Brassica napus","Pterostichus.vernalis"
"Brassica napus","Pyralidae"
"Brassica napus","Rhagionidae sp1"
"Brassica napus","Rhagonycha limbata"
"Brassica napus","Rhingia campestris"
"Brassica napus","Rhingia.campestris"
"Brassica napus","Rhingia_campestris"
"Brassica napus","Rhingia_rostrata"
"Brassica napus","Rove beetle"
"Brassica napus","Sarcophagidae"
"Brassica napus","Sarcophagidae sp1"
"Brassica napus","Saw flies"
"Brassica napus","Scaeva pyrastri"
"Brassica napus","Scaeva_pirastry"
"Brassica napus","Scaeva_pyrastri"
"Brassica napus","Scaeva_selenitica"
"Brassica napus","Scathophaga sp1"
"Brassica napus","Scathophaga sp2"
"Brassica napus","Scathophaga sp3"
"Brassica napus","Scatophagidae"
"Brassica napus","Schwarziana.quadripunctata"
"Brassica napus","Scoliidae sp1"
"Brassica napus","Scoliidae sp2"
"Brassica napus","Sericomyia_silentis"
"Brassica napus","Solitary bee unknown or unidentified"
"Brassica napus","Sphaerophoria scripta"
"Brassica napus","Sphaerophoria sp."
"Brassica napus","Sphaerophoria spec"
"Brassica napus","Sphaerophoria virgata"
"Brassica napus","Sphaerophoria.spec."
"Brassica napus","Sphaerophoria_batava"
"Brassica napus","Sphaerophoria_scripta"
"Brassica napus","Sphaerophoria_sp"
"Brassica napus","Sphaerophoria_taeniata"
"Brassica napus","Sphingidae"
"Brassica napus","Staphylinidae"
"Brassica napus","Stenolophus.teutonus"
"Brassica napus","Stomis.pumicatus"
"Brassica napus","Stratiomydae sp1"
"Brassica napus","Symphyta"
"Brassica napus","Syrhipds"
"Brassica napus","Syritta pipiens"
"Brassica napus","Syritta.pipiens"
"Brassica napus","Syritta_pipiens"
"Brassica napus","Syrphidae"
"Brassica napus","Syrphidae sp1"
"Brassica napus","Syrphidae sp2"
"Brassica napus","Syrphidae sp3"
"Brassica napus","Syrphus ribesii"
"Brassica napus","Syrphus vitripennis"
"Brassica napus","Syrphus.ribesii"
"Brassica napus","Syrphus.torvus"
"Brassica napus","Syrphus.vitripennis"
"Brassica napus","Syrphus_ribesii"
"Brassica napus","Syrphus_sp"
"Brassica napus","Syrphus_vitripennis"
"Brassica napus","Tachinidae sp1"
"Brassica napus","Tachinidae sp2"
"Brassica napus","Tachys.bistriatus"
"Brassica napus","Tetragonisca.fiebrigi"
"Brassica napus","Tetralonia mitsukurii"
"Brassica napus","Tineoidea_sp."
"Brassica napus","Tipulidae spp."
"Brassica napus","Trechus.quadristriatus"
"Brassica napus","Trichotichnus.nitens"
"Brassica napus","Trigona.spinipes"
"Brassica napus","Tropidia scita"
"Brassica napus","Vanessa_cardui"
"Brassica napus","Vespa velutina"
"Brassica napus","Vespidae"
"Brassica napus","Vespula koreensis"
"Brassica napus","Volucella_bombylans"
"Brassica napus","Weevil"
"Brassica napus","Wild_Bees"
"Brassica napus","Xylocopa rufipes"
"Brassica napus","Xylocopa tranquabarorum"
"Brassica napus","Xylocopa.sp."
"Brassica napus","Xylota_tarda"
"Brassica napus","Zygoptera_sp."
"Brassica napus","apis.mellifera"
"Brassica napus","bombus.lapidarius"
"Brassica napus","bombus.terrestris"
"Brassica napus","episyrphus.balteatus"
"Brassica napus","eristalis.sp"
"Brassica napus","gen_sp"
"Brassica napus","hymenoptera_sp."
"Brassica napus","other.diptera"
"Brassica napus","other.syrphidae"
"Brassica napus","solitary.bee"
"Brassica napus","solitary_bee"
"Brassica napus","sphaerophoria.sp"
"Brassica napus","spider"
"Brassica napus","syrphidae"
"Brassica napus","wild_bee_unknown"
"Brassica rapa","Andrena fucata"
"Brassica rapa","Andrena haemorrhoa"
"Brassica rapa","Andrena minutula"
"Brassica rapa","Andrena nigroaenea"
"Brassica rapa","Andrena semilaevis"
"Brassica rapa","Andrena subopaca"
"Brassica rapa","Andrena wilkella"
"Brassica rapa","Anthophora quadrimaculata"
"Brassica rapa","Apis mellifera"
"Brassica rapa","Bombus bohemicus"
"Brassica rapa","Bombus campestris"
"Brassica rapa","Bombus hortorum"
"Brassica rapa","Bombus lapidarius"
"Brassica rapa","Bombus lucorum"
"Brassica rapa","Bombus pascuorum"
"Brassica rapa","Bombus pratorum"
"Brassica rapa","Bombus ruderarius"
"Brassica rapa","Bombus rupestris"
"Brassica rapa","Bombus soroeensis"
"Brassica rapa","Bombus sp."
"Brassica rapa","Bombus sylvarum"
"Brassica rapa","Bombus terrestris"
"Brassica rapa","Cerceris rybyensis"
"Brassica rapa","Cheilosia cf. vernalis"
"Brassica rapa","Cheilosia pagana"
"Brassica rapa","Cheilosia vernalis"
"Brassica rapa","Chloromyia formosa"
"Brassica rapa","Colletes daviesanus"
"Brassica rapa","Episyrphus balteatus"
"Brassica rapa","Eriozona erratica"
"Brassica rapa","Eristalinus sepulchralis"
"Brassica rapa","Eristalis abusiva"
"Brassica rapa","Eristalis anthophorina"
"Brassica rapa","Eristalis arbustorum"
"Brassica rapa","Eristalis interrupta"
"Brassica rapa","Eristalis lineata"
"Brassica rapa","Eristalis similis"
"Brassica rapa","Eristalis tenax"
"Brassica rapa","Eumerus sogdianus"
"Brassica rapa","Eumerus strigatus"
"Brassica rapa","Eupeodes corollae"
"Brassica rapa","Eupeodes latifasciatus"
"Brassica rapa","Eupeodes nielseni"
"Brassica rapa","Halictus tumulorum"
"Brassica rapa","Helophilus pendulus"
"Brassica rapa","Helophilus trivittatus"
"Brassica rapa","Lasioglossum aeratum"
"Brassica rapa","Lasioglossum albipes"
"Brassica rapa","Lasioglossum calceatum"
"Brassica rapa","Lasioglossum lativentre"
"Brassica rapa","Lasioglossum leucopus"
"Brassica rapa","Lasioglossum minutissimum"
"Brassica rapa","Lasioglossum morio"
"Brassica rapa","Lasioglossum quadrinotatum"
"Brassica rapa","Lasioglossum rufitarse"
"Brassica rapa","Lasioglossum villosulum"
"Brassica rapa","Lejogaster metallina"
"Brassica rapa","Lindenius albilabris"
"Brassica rapa","Megachile versicolor"
"Brassica rapa","Melanogaster aerosa"
"Brassica rapa","Melanostoma mellinum"
"Brassica rapa","Melanostoma scalare"
"Brassica rapa","Melitta leporina"
"Brassica rapa","Nemotelus nigrinus"
"Brassica rapa","Neoascia geniculata"
"Brassica rapa","Neoascia podagrica"
"Brassica rapa","Parasyrphus annulatus"
"Brassica rapa","Parasyrphus lineolus"
"Brassica rapa","Parasyrphus macularis"
"Brassica rapa","Pipiza noctiluca"
"Brassica rapa","Pipiza quadrimaculata"
"Brassica rapa","Pipizella viduata"
"Brassica rapa","Platycheirus albimanus"
"Brassica rapa","Platycheirus angustatus"
"Brassica rapa","Platycheirus cf. ambiguus"
"Brassica rapa","Platycheirus clypeatus"
"Brassica rapa","Platycheirus fulviventris"
"Brassica rapa","Platycheirus manicatus"
"Brassica rapa","Platycheirus scambus"
"Brassica rapa","Rhingia campestris"
"Brassica rapa","Sargus iridatus"
"Brassica rapa","Scaeva pyrastri"
"Brassica rapa","Scaeva selenitica"
"Brassica rapa","Sericomyia silentis"
"Brassica rapa","Sphaerophoria interrupta"
"Brassica rapa","Sphaerophoria philanta"
"Brassica rapa","Sphaerophoria scripta"
"Brassica rapa","Sphaerophoria taeniata"
"Brassica rapa","Sphecodes geoffrellus"
"Brassica rapa","Syritta pipiens"
"Brassica rapa","Syrphus ribesii"
"Brassica rapa","Syrphus torvus"
"Brassica rapa","Syrphus vitripennis"
"Brassica rapa","Trypoxylon clavicerum"
"Brassica rapa","Volucella bombylans"
"Cajanus cajan","Amegilla caelestina"
"Cajanus cajan","Amegilla cymatilis"
"Cajanus cajan","Amegilla sp 1."
"Cajanus cajan","Amegilla sp 2."
"Cajanus cajan","Amegilla sp. 2"
"Cajanus cajan","Anthidium sp."
"Cajanus cajan","Anthophora sp."
"Cajanus cajan","Apis mellifera"
"Cajanus cajan","Braunsapis sp."
"Cajanus cajan","Ceratina sp."
"Cajanus cajan","Coelioxys sp."
"Cajanus cajan","Dactylurina sp."
"Cajanus cajan","Euaspis abdominalis"
"Cajanus cajan","Halictus"
"Cajanus cajan","Heriades sp."
"Cajanus cajan","Hypotrigona gribodoi"
"Cajanus cajan","Lassioglossum sp."
"Cajanus cajan","Lipotriches sp."
"Cajanus cajan","Lithurge sp."
"Cajanus cajan","Macrogalea candida"
"Cajanus cajan","Megachile (Chalicodoma) sp."
"Cajanus cajan","Megachile bicolor"
"Cajanus cajan","Megachile flavipennis"
"Cajanus cajan","Megachile sp.1"
"Cajanus cajan","Megachile sp.2"
"Cajanus cajan","Megachile sp.3"
"Cajanus cajan","Megachile sp.4"
"Cajanus cajan","Megachile sp5."
"Cajanus cajan","Meliponula sp."
"Cajanus cajan","Mellisodes sp."
"Cajanus cajan","Nomia sp."
"Cajanus cajan","Pachyanthidium cordatum"
"Cajanus cajan","Pachymelus conspicuus"
"Cajanus cajan","Plebeina hildebrandti"
"Cajanus cajan","Pseudapis sp."
"Cajanus cajan","Pseudoanthidium sp."
"Cajanus cajan","Pseudophilanthus sp."
"Cajanus cajan","Systropha aethiopica"
"Cajanus cajan","Tetralonia sp."
"Cajanus cajan","Tetraloniella sp."
"Cajanus cajan","Thyreus pictus"
"Cajanus cajan","Xylocopa caffra"
"Cajanus cajan","Xylocopa erythrina"
"Cajanus cajan","Xylocopa imitator"
"Cajanus cajan","Xylocopa inconstans"
"Cajanus cajan","Xylocopa senior"
"Cajanus cajan","Xylocopa somalica"
"Cajanus cajan","Xylocopa sp.1"
"Cajanus cajan","Xylocopa sp.2"
"Cajanus cajan","Xylocopa sp.3"
"Capsicum annuum","Augochlora pura"
"Capsicum annuum","Augochlorella aurata"
"Capsicum annuum","Bombus auricomus"
"Capsicum annuum","Bombus impatiens"
"Capsicum annuum","Halictus ligatus"
"Capsicum annuum","Lasioglossum admirandum"
"Capsicum annuum","Lasioglossum cressonii"
"Capsicum annuum","Lasioglossum ephialtum"
"Capsicum annuum","Lasioglossum georgeickworti"
"Capsicum annuum","Lasioglossum hitchensi_weemsi"
"Capsicum annuum","Lasioglossum imitatum"
"Capsicum annuum","Lasioglossum obscurum"
"Capsicum annuum","Lasioglossum oceanicum"
"Capsicum annuum","Lasioglossum pilosum"
"Capsicum annuum","Lasioglossum subviridatum"
"Capsicum annuum","Lasioglossum tegulare"
"Capsicum annuum","Lasioglossum versatum"
"Capsicum annuum","Lasioglossum zephyrum"
"Citrullus lanatus","Agapostemon_sericeus"
"Citrullus lanatus","Agapostemon_virescens"
"Citrullus lanatus","Andrena flavipes"
"Citrullus lanatus","Apis_mellifera"
"Citrullus lanatus","Augochlora_pura"
"Citrullus lanatus","Augochlorella_aurata"
"Citrullus lanatus","Augochloropsis_metallica"
"Citrullus lanatus","Bombus_bimaculatus"
"Citrullus lanatus","Bombus_fervidus"
"Citrullus lanatus","Bombus_griseocollis"
"Citrullus lanatus","Bombus_impatiens"
"Citrullus lanatus","Bombus_perplexus"
"Citrullus lanatus","Bombus_spp."
"Citrullus lanatus","Bombus_vagans"
"Citrullus lanatus","Calliopsis_andreniformis"
"Citrullus lanatus","Ceratina bispinosa"
"Citrullus lanatus","Ceratina cucurbitina"
"Citrullus lanatus","Ceratina dentiventris"
"Citrullus lanatus","Ceratina mandibularis"
"Citrullus lanatus","Ceratina moricei"
"Citrullus lanatus","Ceratina schwarzi"
"Citrullus lanatus","Ceratina zandeni"
"Citrullus lanatus","Ceratina_calcarata_dupla"
"Citrullus lanatus","Ceratina_strenua"
"Citrullus lanatus","Diptera_sp."
"Citrullus lanatus","Halictini sp."
"Citrullus lanatus","Halictus cephalicus"
"Citrullus lanatus","Halictus pollinosus"
"Citrullus lanatus","Halictus resurgens"
"Citrullus lanatus","Halictus smaragdulus"
"Citrullus lanatus","Halictus sp."
"Citrullus lanatus","Halictus subauratus"
"Citrullus lanatus","Halictus tetrazonianellus"
"Citrullus lanatus","Halictus_confusus"
"Citrullus lanatus","Halictus_ligatus"
"Citrullus lanatus","Halictus_rubicundus"
"Citrullus lanatus","Hylaeus aff. dinkleri"
"Citrullus lanatus","Hylaeus albonotatus"
"Citrullus lanatus","Hylaeus imparilis"
"Citrullus lanatus","Hylaeus intermedius"
"Citrullus lanatus","Hylaeus kahri"
"Citrullus lanatus","Hylaeus longimaculus"
"Citrullus lanatus","Hylaeus soror"
"Citrullus lanatus","Hylaeus sp."
"Citrullus lanatus","Hylaeus syriacus"
"Citrullus lanatus","Hylaeus taeniolatus"
"Citrullus lanatus","Hylaeus_affinis"
"Citrullus lanatus","Hylaeus_mesillae"
"Citrullus lanatus","Hylaeus_modestus"
"Citrullus lanatus","Lasioglossum (Evylaeus) sp."
"Citrullus lanatus","Lasioglossum aegyptiellum"
"Citrullus lanatus","Lasioglossum aff. morio"
"Citrullus lanatus","Lasioglossum anellum"
"Citrullus lanatus","Lasioglossum callizionum"
"Citrullus lanatus","Lasioglossum clypeiferellum"
"Citrullus lanatus","Lasioglossum discum"
"Citrullus lanatus","Lasioglossum epipygiale"
"Citrullus lanatus","Lasioglossum glabriusculum"
"Citrullus lanatus","Lasioglossum malachurum"
"Citrullus lanatus","Lasioglossum minutissimum"
"Citrullus lanatus","Lasioglossum obscuratum"
"Citrullus lanatus","Lasioglossum politum atomarium"
"Citrullus lanatus","Lasioglossum pseudosphecodimorphum"
"Citrullus lanatus","Lasioglossum pygmaeum"
"Citrullus lanatus","Lasioglossum tadschicum"
"Citrullus lanatus","Lasioglossum truncaticolle"
"Citrullus lanatus","Lasioglossum vagans"
"Citrullus lanatus","Lasioglossum villosulum"
"Citrullus lanatus","Lasioglossum_admirandum"
"Citrullus lanatus","Lasioglossum_albipenne"
"Citrullus lanatus","Lasioglossum_bruneri"
"Citrullus lanatus","Lasioglossum_callidum"
"Citrullus lanatus","Lasioglossum_coriaceum"
"Citrullus lanatus","Lasioglossum_cressonii"
"Citrullus lanatus","Lasioglossum_ellisiae"
"Citrullus lanatus","Lasioglossum_ephialtum"
"Citrullus lanatus","Lasioglossum_illinoense"
"Citrullus lanatus","Lasioglossum_imitatum"
"Citrullus lanatus","Lasioglossum_laevissimum"
"Citrullus lanatus","Lasioglossum_lineatulum"
"Citrullus lanatus","Lasioglossum_mitchelli"
"Citrullus lanatus","Lasioglossum_nymphaearum"
"Citrullus lanatus","Lasioglossum_oblongum"
"Citrullus lanatus","Lasioglossum_obscurum"
"Citrullus lanatus","Lasioglossum_paradmirandum"
"Citrullus lanatus","Lasioglossum_pectinatum"
"Citrullus lanatus","Lasioglossum_pilosum"
"Citrullus lanatus","Lasioglossum_planatum"
"Citrullus lanatus","Lasioglossum_platyparium"
"Citrullus lanatus","Lasioglossum_subviridatum"
"Citrullus lanatus","Lasioglossum_tegulare"
"Citrullus lanatus","Lasioglossum_trigeminum"
"Citrullus lanatus","Lasioglossum_truncatum"
"Citrullus lanatus","Lasioglossum_versatum"
"Citrullus lanatus","Lasioglossum_viridatum"
"Citrullus lanatus","Lasioglossum_weemsi"
"Citrullus lanatus","Lasioglossum_zephyrum"
"Citrullus lanatus","Lepidoptera"
"Citrullus lanatus","Lithurgus tibialis"
"Citrullus lanatus","Megachile cf. fertoni"
"Citrullus lanatus","Megachile dorsalis"
"Citrullus lanatus","Megachile_brevis"
"Citrullus lanatus","Megachile_mendica"
"Citrullus lanatus","Melissodes_bimaculata"
"Citrullus lanatus","Nomada kohli"
"Citrullus lanatus","Nomiapis bispinosa"
"Citrullus lanatus","Nomiapis diversipes"
"Citrullus lanatus","Nomioides sp. 1"
"Citrullus lanatus","Nomioidinae sp."
"Citrullus lanatus","Ochreriades fasciatus"
"Citrullus lanatus","Osmia signata"
"Citrullus lanatus","Peponapis_pruinosa"
"Citrullus lanatus","Pieris_rapae"
"Citrullus lanatus","Ptilothrix_bombiformis"
"Citrullus lanatus","Tarsalia sp. 1"
"Citrullus lanatus","Triepeolus_remigatus"
"Citrullus lanatus","Xylocopa_virginica"
"Citrullus lanatus","syrphidae"
"Citrullus lanatus","wild_bee_unknown"
"Citrus limon","Abeja abdomen naranja"
"Citrus limon","Abeja brillante sin pelos rayas en abdomen"
"Citrus limon","Abeja marron cola negra"
"Citrus limon","Abeja negra"
"Citrus limon","Aphididae"
"Citrus limon","Apis melifera"
"Citrus limon","Avispa marron"
"Citrus limon","Avispa negra"
"Citrus limon","Avispa negra copada"
"Citrus limon","Avispa pequena"
"Citrus limon","Avispa rayada"
"Citrus limon","Bombus atratus"
"Citrus limon","Bombus negro"
"Citrus limon","Coleoptera 1"
"Citrus limon","Coleoptera 2"
"Citrus limon","Coleoptera 3"
"Citrus limon","Diptero 1"
"Citrus limon","Diptero 2"
"Citrus limon","Diptero 3"
"Citrus limon","Diptero 4"
"Citrus limon","Diptero 5"
"Citrus limon","Diptero 6"
"Citrus limon","Halictidae 1"
"Citrus limon","Halictidae 2"
"Citrus limon","Halictidae 3"
"Citrus limon","Hormiga"
"Citrus limon","Ligaidae"
"Citrus limon","Mariposa alas transparentes"
"Citrus limon","Mariposa gris chiquita"
"Citrus limon","Mariposa marron grande"
"Citrus limon","Mariposa marron pequena"
"Citrus limon","Mariposa monarca"
"Citrus limon","Mosca brillante"
"Citrus limon","Mosca domestica"
"Citrus limon","Mosca gris lomo rayado"
"Citrus limon","Papilio thoas"
"Citrus limon","Pirpinto amarillo"
"Citrus limon","Plebeia sp"
"Citrus limon","Syrphido"
"Citrus limon","Xylocopa eximia"
"Citrus limon","Xylocopa negro"
"Citrus paradisi","Andrenidae"
"Citrus paradisi","Apis mellifera"
"Citrus paradisi","Bombini"
"Citrus paradisi","Coleoptera"
"Citrus paradisi","Diptera"
"Citrus paradisi","Halictini"
"Citrus paradisi","Hemiptera"
"Citrus paradisi","Lepidotera"
"Citrus paradisi","Megachilidae"
"Citrus paradisi","Meliponini"
"Citrus paradisi","Vespid"
"Coffea arabica","Amegilla (Sulawesi) sp. aff. samarensis"
"Coffea arabica","Amegilla whiteheadi"
"Coffea arabica","Apis cerana"
"Coffea arabica","Apis dorsata"
"Coffea arabica","Apis mellifera"
"Coffea arabica","Apis nigrocinta binghami"
"Coffea arabica","Apis_mellifera"
"Coffea arabica","Apoidea_largerthanHoneybee"
"Coffea arabica","Apoidea_sizeequalsHoneybee"
"Coffea arabica","Apoidea_smallerthanHoneybee"
"Coffea arabica","Asilidae"
"Coffea arabica","Augochlora_sp."
"Coffea arabica","Augochloropsis sp.1"
"Coffea arabica","Bibionidae sp."
"Coffea arabica","Bibionidae sp.1"
"Coffea arabica","Bibionidae_sp."
"Coffea arabica","Bombus brevivillus"
"Coffea arabica","Bombus morio"
"Coffea arabica","Brachygastra lecheguana"
"Coffea arabica","Bracronidae sp1"
"Coffea arabica","Braunsapis sp.1"
"Coffea arabica","Calliphoridae sp.1"
"Coffea arabica","Calliphoridae_sp."
"Coffea arabica","Centris (Centris) aenea"
"Coffea arabica","Centris (Centris) decolorata"
"Coffea arabica","Centris (Centris) flavifrons"
"Coffea arabica","Centris (Hemisiela)tarsata"
"Coffea arabica","Centris sp"
"Coffea arabica","Cerambycidae"
"Coffea arabica","Ceratina (Calloceratina) chloris"
"Coffea arabica","Ceratina (Ceratinidia) rugifrons"
"Coffea arabica","Ceratina sp. 1"
"Coffea arabica","Ceratina_sp2"
"Coffea arabica","Ceratitis capitata"
"Coffea arabica","Ceratitis sp.1"
"Coffea arabica","Chalcididae sp.1"
"Coffea arabica","Chalcididae sp2"
"Coffea arabica","Chalicodoma (Callomegachile) terminale"
"Coffea arabica","Chalicodoma (Eumegachinana) tub. tuberculatum"
"Coffea arabica","Chrysomelidae"
"Coffea arabica","Chrysops varians"
"Coffea arabica","Coelioxys smithii"
"Coffea arabica","Coleoptera sp1"
"Coffea arabica","Crabronidae sp1"
"Coffea arabica","Crabronidae sp2"
"Coffea arabica","Creightonella frontalis atrata"
"Coffea arabica","Curculionidae"
"Coffea arabica","Dermestidae"
"Coffea arabica","Dialictus sp.1"
"Coffea arabica","Diptera sp.3"
"Coffea arabica","Diptera sp.4"
"Coffea arabica","Efferia sp.1"
"Coffea arabica","Eichoichemus sp."
"Coffea arabica","Exomalopsis cf. lugens"
"Coffea arabica","Exomalopsis cfr. iridipennis"
"Coffea arabica","Fanniidae? Sp.2"
"Coffea arabica","Formicidae"
"Coffea arabica","Geotrigona subterranea"
"Coffea arabica","Halictidae (Sulawesi) sp. 21"
"Coffea arabica","Halictidae (Sulawesi) sp. 22"
"Coffea arabica","Halictus sp. 1"
"Coffea arabica","Halictus sp. 6f"
"Coffea arabica","Halictus sp.1"
"Coffea arabica","Hemipenthes sp."
"Coffea arabica","Hemiptera sp.6"
"Coffea arabica","Heriades (Sulawesi) sp. 1"
"Coffea arabica","Heriades (Sulawesi) sp. 2"
"Coffea arabica","Huge Black 2002"
"Coffea arabica","Hylaeus sp. 1"
"Coffea arabica","Hymenoptera"
"Coffea arabica","Hymenoptera sp"
"Coffea arabica","Hymenoptera_Nonbee_Aculeata"
"Coffea arabica","Hypotrigona sp. 1"
"Coffea arabica","Ichneumonidae sp.2"
"Coffea arabica","Lasioglossum sp. 1"
"Coffea arabica","Lasioglossum sp. 10f"
"Coffea arabica","Lasioglossum sp. 11"
"Coffea arabica","Lasioglossum sp. 13"
"Coffea arabica","Lasioglossum sp. 14"
"Coffea arabica","Lasioglossum sp. 14f"
"Coffea arabica","Lasioglossum sp. 16f"
"Coffea arabica","Lasioglossum sp. 18f"
"Coffea arabica","Lasioglossum sp. 2"
"Coffea arabica","Lasioglossum sp. 20"
"Coffea arabica","Lasioglossum sp. 24m"
"Coffea arabica","Lasioglossum sp. 26f"
"Coffea arabica","Lasioglossum sp. 3"
"Coffea arabica","Lasioglossum sp. 36f"
"Coffea arabica","Lasioglossum sp. 4"
"Coffea arabica","Lasiolgossum sp. 3"
"Coffea arabica","Lepidoptera"
"Coffea arabica","Lepidoptera sp 1"
"Coffea arabica","Lepidoptera sp 2"
"Coffea arabica","Lepidoptera sp 3"
"Coffea arabica","Lepidoptera sp 5"
"Coffea arabica","Lepidoptera sp3"
"Coffea arabica","Lepidoptera sp4"
"Coffea arabica","Lipotriches (Sulawesi) sp."
"Coffea arabica","Lipotriches sp. 8"
"Coffea arabica","Lithurgus pullatus (Vachal)"
"Coffea arabica","Lycidae"
"Coffea arabica","Macrodactylus_fulvescens"
"Coffea arabica","Macrogalea candida"
"Coffea arabica","Macrogalea candida (Smith)"
"Coffea arabica","Megachile (Sulawesi) sp. aff. bakeri"
"Coffea arabica","Megachile sp. 1f"
"Coffea arabica","Melipona fasciata"
"Coffea arabica","Meliponini sp. 1"
"Coffea arabica","Meliponula ferruginea"
